date,confirmedCount
2022/1/1,12667
2022/1/2,12693
2022/1/3,12722
2022/1/4,12761
2022/1/5,12799
2022/1/6,12832
2022/1/7,12865
2022/1/8,12902
2022/1/9,12935
2022/1/10,12959
2022/1/11,12980
2022/1/12,13002
2022/1/13,13016
2022/1/14,13025
2022/1/15,13030
2022/1/16,13041
2022/1/17,13048
2022/1/18,13066
2022/1/19,13082
2022/1/20,13096
2022/1/21,13120
2022/1/22,13146
2022/1/23,13286
2022/1/24,13395
2022/1/25,13519
2022/1/26,13626
2022/1/27,13790
2022/1/28,13905
2022/1/29,14024
2022/1/30,14105
2022/1/31,14197
2022/2/1,14326
2022/2/2,14442
2022/2/3,14584
2022/2/4,14715
2022/2/5,15066
2022/2/6,15408
2022/2/7,16022
2022/2/8,16647
2022/2/9,17808
2022/2/10,18794
2022/2/11,20119
2022/2/12,21633
2022/2/13,22980
2022/2/14,25051
2022/2/15,26670
2022/2/16,30955
2022/2/17,37071
2022/2/18,40700
2022/2/19,46763
2022/2/20,52830
2022/2/21,60363
2022/2/22,66574
2022/2/23,75248
2022/2/24,84046
2022/2/25,94056
2022/2/26,168590
2022/2/27,219566
2022/2/28,275744
2022/3/1,331402
2022/3/2,407743
2022/3/3,484734
2022/3/4,557416
2022/3/5,624999
2022/3/6,664800
2022/3/7,701195
2022/3/8,739946
2022/3/9,770407
2022/3/10,801809
2022/3/11,831190
2022/3/12,858837
2022/3/13,891267
2022/3/14,918175
2022/3/15,945940
2022/3/16,975212
2022/3/17,996862
2022/3/18,1016944
2022/3/19,1033541
2022/3/20,1047690
2022/3/21,1061758
2022/3/22,1075910
2022/3/23,1088150
2022/3/24,1101224
2022/3/25,1111629
2022/3/26,1120470
2022/3/27,1128507
2022/3/28,1136192
2022/3/29,1143788
2022/3/30,1150769
2022/3/31,1157415
2022/4/1,1163238
2022/4/2,1167713
2022/4/3,1171422
2022/4/4,1174560
2022/4/5,1177814
2022/4/6,1180591
2022/4/7,1183235
2022/4/8,1185727
2022/4/9,1188262
2022/4/10,1190183
2022/4/11,1191590
2022/4/12,1193023
2022/4/13,1194295
2022/4/14,1195338
2022/4/15,1196284
2022/4/16,1197078
2022/4/17,1197825
2022/4/18,1198438
2022/4/19,1199038
2022/4/20,1199706
2022/4/21,1200334
2022/4/22,1200908
2022/4/23,1201431
2022/4/24,1201860
2022/4/25,1202291
2022/4/26,1202638
2022/4/27,1203068
2022/4/28,1203481
