date,predictCount,confirmedCount
2022/1/1,12667,12667
2022/1/2,12689.22764,12693
2022/1/3,12719.18969,12722
2022/1/4,12757.03539,12761
2022/1/5,12800.72791,12799
2022/1/6,12839.25816,12832
2022/1/7,12874.11557,12865
2022/1/8,12912.31743,12902
2022/1/9,12941.46134,12935
2022/1/10,12962.28864,12959
2022/1/11,12982.58552,12980
2022/1/12,13001.02787,13002
2022/1/13,13015.74772,13016
2022/1/14,13026.88958,13025
2022/1/15,13032.68069,13030
2022/1/16,13042.72527,13041
2022/1/17,13048.63116,13048
2022/1/18,13061.16598,13066
2022/1/19,13078.56506,13082
2022/1/20,13092.65294,13096
2022/1/21,13118.44424,13120
2022/1/22,13149.21318,13146
2022/1/23,13265.81957,13286
2022/1/24,13388.22887,13395
2022/1/25,13513.52876,13519
2022/1/26,13659.15509,13626
2022/1/27,13828.65884,13790
2022/1/28,13951.28797,13905
2022/1/29,14068.67237,14024
2022/1/30,14143.87931,14105
2022/1/31,14207.50633,14197
2022/2/1,14317.89292,14326
2022/2/2,14421.57052,14442
2022/2/3,14561.74371,14584
2022/2/4,14733.42981,14715
2022/2/5,15056.0175,15066
2022/2/6,15429.75471,15408
2022/2/7,16004.90018,16022
2022/2/8,16685.56176,16647
2022/2/9,17784.31688,17808
2022/2/10,18906.07148,18794
2022/2/11,20242.81834,20119
2022/2/12,21893.73611,21633
2022/2/13,23331.23284,22980
2022/2/14,25281.09828,25051
2022/2/15,27103.62875,26670
2022/2/16,30684.88486,30955
2022/2/17,36650.52508,37071
2022/2/18,40945.83227,40700
2022/2/19,47346.41756,46763
2022/2/20,54933.05318,52830
2022/2/21,61708.24713,60363
2022/2/22,68627.34825,66574
2022/2/23,76819.19668,75248
2022/2/24,84686.95666,84046
2022/2/25,94650.85903,94056
2022/2/26,156077.4266,168590
2022/2/27,214230.2736,219566
2022/2/28,272930.7866,275744
2022/3/1,354188.7995,331402
2022/3/2,434076.0824,407743
2022/3/3,508676.5852,484734
2022/3/4,584376.1283,557416
2022/3/5,638702.0967,624999
2022/3/6,678133.6629,664800
2022/3/7,714149.6702,701195
2022/3/8,743754.0534,739946
2022/3/9,774778.4899,770407
2022/3/10,804457.7989,801809
2022/3/11,833569.4873,831190
2022/3/12,866588.5202,858837
2022/3/13,898331.6883,891267
2022/3/14,927220.4357,918175
2022/3/15,955372.9215,945940
2022/3/16,981115.4237,975212
2022/3/17,1002447.57,996862
2022/3/18,1020950.804,1016944
2022/3/19,1037331.876,1033541
2022/3/20,1051621.478,1047690
2022/3/21,1064787.43,1061758
2022/3/22,1078592.199,1075910
2022/3/23,1090322.988,1088150
2022/3/24,1102693.503,1101224
2022/3/25,1114364.979,1111629
2022/3/26,1123016.555,1120470
2022/3/27,1131731.698,1128507
2022/3/28,1139194.073,1136192
2022/3/29,1144773.958,1143788
2022/3/30,1151454.973,1150769
2022/3/31,1157236.434,1157415
2022/4/1,1162875.32,1163238
2022/4/2,1169148.835,1167713
2022/4/3,1173208.239,1171422
2022/4/4,1176855.845,1174560
2022/4/5,1179981.963,1177814
2022/4/6,1180811.626,1180591
2022/4/7,1182613.762,1183235
2022/4/8,1184509.963,1185727
2022/4/9,1186499.284,1188262
2022/4/10,1190124.563,1190183
2022/4/11,1192540.758,1191590
2022/4/12,1194585.954,1193023
2022/4/13,1196513.881,1194295
2022/4/14,1196007.051,1195338
2022/4/15,1195826.828,1196284
2022/4/16,1195893.363,1197078
2022/4/17,1195515.935,1197825
2022/4/18,1197214.36,1198438
2022/4/19,1198891.068,1199038
2022/4/20,1200214.693,1199706
2022/4/21,1202173.738,1200334
2022/4/22,1202118.144,1200908
2022/4/23,1201638.264,1201431
2022/4/24,1201482.041,1201860
2022/4/25,1200388.884,1202291
2022/4/26,1200902.052,1202638
2022/4/27,1202167.44,1203068
2022/4/28,1203040.637,1203481
2022/4/29,1204960.107,1203847
2022/4/30,1205607.772,1204210
2022/5/1,1205228.795,1204510
2022/5/2,1205188.095,1204793
2022/5/3,1203961.918,1205083
2022/5/4,1203587.737,1205396
2022/5/5,1204385.857,1205717
2022/5/6,1204855.647,1206041
2022/5/7,1206531.03,1206319
2022/5/8,1207789.432,1206585
2022/5/9,1207761.889,1206818
2022/5/10,1208050.15,1207091
